dim,kernel,family,representation,spec_train_eff_rank,kta_train
4,linear,classical_ext_plain,plain,3.1925355659291808,0.1005144216608806
4,rbf_gscale,classical_ext_plain,plain,7.362522815356635,0.10888525091663137
4,poly2,classical_ext_plain,plain,4.5759989242665,0.10362623099450567
4,poly3,classical_ext_plain,plain,6.422269323381368,0.10248565719710225
4,laplacian_med,classical_ext_plain,plain,19.18490695058961,0.10637207087622064
4,matern15_med,classical_ext_plain,plain,7.833598093383473,0.10706227492096689
4,matern25_med,classical_ext_plain,plain,6.323331896027438,0.10746026937656374
6,linear,classical_ext_plain,plain,4.74476028233011,0.08798124087057768
6,rbf_gscale,classical_ext_plain,plain,11.975213923194211,0.093333860693712
6,poly2,classical_ext_plain,plain,6.907790081738839,0.08900495847230762
6,poly3,classical_ext_plain,plain,10.51327660544836,0.08997870053876679
6,laplacian_med,classical_ext_plain,plain,20.557594519945436,0.09216817441155563
6,matern15_med,classical_ext_plain,plain,8.810482931684819,0.09191481476381674
6,matern25_med,classical_ext_plain,plain,7.1077757763806515,0.09174147798598507
8,linear,classical_ext_plain,plain,6.247223761696832,0.08646208296223237
8,rbf_gscale,classical_ext_plain,plain,15.321262812668863,0.08758427328846932
8,poly2,classical_ext_plain,plain,8.676761162701059,0.0879964180250792
8,poly3,classical_ext_plain,plain,13.486251223640748,0.0882677613987265
8,laplacian_med,classical_ext_plain,plain,22.761184465335997,0.08818424909952471
8,matern15_med,classical_ext_plain,plain,10.016296884307524,0.08752594574385616
8,matern25_med,classical_ext_plain,plain,8.109951047435393,0.08761395488335535
10,linear,classical_ext_plain,plain,7.1667115969000434,0.09068798113146856
10,rbf_gscale,classical_ext_plain,plain,15.152110966307903,0.0853068832386287
10,poly2,classical_ext_plain,plain,8.845015438252382,0.08892554092664091
10,poly3,classical_ext_plain,plain,13.895660977586346,0.08815141012175758
10,laplacian_med,classical_ext_plain,plain,25.44021947219354,0.08841199624232643
10,matern15_med,classical_ext_plain,plain,10.745283359645795,0.08627065721547438
10,matern25_med,classical_ext_plain,plain,8.661857740365045,0.08615296556028536
12,linear,classical_ext_plain,plain,8.307034748692068,0.09240393024395326
12,rbf_gscale,classical_ext_plain,plain,17.254699841579946,0.08310952461963346
12,poly2,classical_ext_plain,plain,9.738435105479379,0.08696323310407757
12,poly3,classical_ext_plain,plain,15.675966659497915,0.08757837873548607
12,laplacian_med,classical_ext_plain,plain,27.574316673886486,0.08810066554514369
12,matern15_med,classical_ext_plain,plain,11.94781360496727,0.08381149754613973
12,matern25_med,classical_ext_plain,plain,9.540066816531722,0.0827787750034321
