task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy,fit_seconds,kernel_backend
college_scorecard,q1000,42,classical_ext,linear,4,linear__d4,svc,train_cv,0.1,0.8726094990579464,validation,0.856,0.8006524725274725,0.7145032356299962,0.5135135135135135,0.8986950549450549,0.6977439946061337,,,,,0.00514817237854,analytic_cpu
college_scorecard,q1000,42,classical_ext,linear,4,linear__d4,svc,train_cv,0.1,0.8726094990579464,id_test,0.836,0.8200000000000001,0.6979875659271044,0.4938271604938271,0.9232,0.6624085266139798,,,,,0.00514817237854,analytic_cpu
college_scorecard,q1000,42,classical_ext,linear,4,linear__d4,svc,train_cv,0.1,0.8726094990579464,ood_test,0.688,0.5681398737251093,0.5699067028386158,0.3445378151260504,0.6008159300631374,0.3852705779671068,,,,,0.00514817237854,analytic_cpu
college_scorecard,q1000,42,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,validation,0.84,0.8087225274725275,0.7023809523809523,0.5,0.9036744505494506,0.6933143823355741,,,,,0.0040006637573242,analytic_cpu
college_scorecard,q1000,42,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,id_test,0.824,0.8311111111111111,0.6910459498932704,0.4883720930232558,0.9264,0.6593617579072835,,,,,0.0040006637573242,analytic_cpu
college_scorecard,q1000,42,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,ood_test,0.676,0.5535696940262264,0.5533646529477934,0.3193277310924369,0.6155026711996114,0.3828928084658611,,,,,0.0040006637573242,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,0.01,0.8651987309837826,validation,0.848,0.7961881868131868,0.7051886792452831,0.5,0.9052197802197802,0.5117760573125868,,,,,0.00523042678833,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,0.01,0.8651987309837826,id_test,0.848,0.8266666666666667,0.711386559727792,0.5128205128205128,0.9125333333333334,0.5973503188950077,,,,,0.00523042678833,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,0.01,0.8651987309837826,ood_test,0.654,0.5156386595434677,0.507041049518154,0.237885462555066,0.5908887809616319,0.3347512788821529,,,,,0.00523042678833,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,fixed_c1,1.0,,validation,0.836,0.823489010989011,0.7038513767299412,0.5060240963855421,0.9215315934065936,0.5075710832918288,,,,,0.0050017833709716,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,fixed_c1,1.0,,id_test,0.804,0.8022222222222222,0.6651083955274885,0.449438202247191,0.9159111111111112,0.5798915881849085,,,,,0.0050017833709716,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,fixed_c1,1.0,,ood_test,0.524,0.5587178241864983,0.5127424004192872,0.4386792452830189,0.6307333657115104,0.5131318446481652,,,,,0.0050017833709716,analytic_cpu
college_scorecard,q1000,42,classical_ext,poly2,4,poly2__d4,svc,train_cv,0.1,0.8744485305884687,validation,0.848,0.8131868131868132,0.711386559727792,0.5128205128205128,0.9203296703296704,0.7016192769086101,,,,,0.0039980411529541,analytic_cpu
college_scorecard,q1000,42,classical_ext,poly2,4,poly2__d4,svc,train_cv,0.1,0.8744485305884687,id_test,0.824,0.8133333333333334,0.6852106227106227,0.4761904761904761,0.9223111111111112,0.6476057196317253,,,,,0.0039980411529541,analytic_cpu
college_scorecard,q1000,42,classical_ext,poly2,4,poly2__d4,svc,train_cv,0.1,0.8744485305884687,ood_test,0.654,0.5890723652258378,0.5873071913511038,0.4214046822742475,0.6162020398251579,0.3887649865442346,,,,,0.0039980411529541,analytic_cpu
college_scorecard,q1000,42,classical_ext,poly3,4,poly3__d4,svc,train_cv,0.01,0.871900896248927,validation,0.864,0.8221153846153846,0.7303641669838853,0.5405405405405406,0.9215315934065936,0.7037386207999798,,,,,0.0071275234222412,analytic_cpu
college_scorecard,q1000,42,classical_ext,poly3,4,poly3__d4,svc,train_cv,0.01,0.871900896248927,id_test,0.832,0.8177777777777778,0.6936632045746295,0.4878048780487805,0.9207111111111111,0.6465226363837568,,,,,0.0071275234222412,analytic_cpu
college_scorecard,q1000,42,classical_ext,poly3,4,poly3__d4,svc,train_cv,0.01,0.871900896248927,ood_test,0.664,0.5920349684312773,0.5920349684312773,0.4206896551724138,0.6008547838756678,0.3721425917808297,,,,,0.0071275234222412,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med,4,laplacian_med__d4,svc,train_cv,0.01,0.8648494705794073,validation,0.86,0.8028846153846154,0.7192903660453627,0.5205479452054794,0.9153502747252746,0.6186401602324033,,,,,0.0070364475250244,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med,4,laplacian_med__d4,svc,train_cv,0.01,0.8648494705794073,id_test,0.844,0.8244444444444445,0.706846267175802,0.5063291139240507,0.9194666666666668,0.5906347818309352,,,,,0.0070364475250244,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med,4,laplacian_med__d4,svc,train_cv,0.01,0.8648494705794073,ood_test,0.608,0.5831957260806218,0.5680840561314435,0.4367816091954023,0.6203593977659058,0.3856819717516232,,,,,0.0070364475250244,analytic_cpu
college_scorecard,q1000,42,classical_ext,matern15_med,4,matern15_med__d4,svc,train_cv,10.0,0.8674801613973546,validation,0.836,0.8404876373626373,0.7094259390503189,0.5176470588235295,0.917925824175824,0.4836466401186219,,,,,0.006052017211914,analytic_cpu
college_scorecard,q1000,42,classical_ext,matern15_med,4,matern15_med__d4,svc,train_cv,10.0,0.8674801613973546,id_test,0.816,0.808888888888889,0.6770025839793281,0.4651162790697674,0.9111111111111112,0.542226005173751,,,,,0.006052017211914,analytic_cpu
college_scorecard,q1000,42,classical_ext,matern15_med,4,matern15_med__d4,svc,train_cv,10.0,0.8674801613973546,ood_test,0.544,0.566682855755221,0.5280206677265501,0.4411764705882353,0.608314715881496,0.3917755284979189,,,,,0.006052017211914,analytic_cpu
college_scorecard,q1000,42,classical_ext,matern25_med,4,matern25_med__d4,svc,train_cv,100.0,0.8655172830734061,validation,0.844,0.8449519230769231,0.7182976510357979,0.5301204819277109,0.9148351648351648,0.5039794175667721,,,,,0.0079553127288818,analytic_cpu
college_scorecard,q1000,42,classical_ext,matern25_med,4,matern25_med__d4,svc,train_cv,100.0,0.8655172830734061,id_test,0.828,0.8155555555555556,0.6894051024240848,0.4819277108433735,0.9077333333333332,0.5325914597665123,,,,,0.0079553127288818,analytic_cpu
college_scorecard,q1000,42,classical_ext,matern25_med,4,matern25_med__d4,svc,train_cv,100.0,0.8655172830734061,ood_test,0.592,0.5576493443419136,0.5467391883965232,0.4035087719298245,0.5750752792617776,0.3181317285917739,,,,,0.0079553127288818,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,svc,train_cv,10.0,0.8627471868196428,validation,0.824,0.8337912087912087,0.6966019417475728,0.5,0.9301167582417582,0.6387140574362816,,,,,0.005800724029541,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,svc,train_cv,10.0,0.8627471868196428,id_test,0.788,0.8288888888888889,0.6610472998900002,0.4536082474226804,0.9283555555555556,0.5505156946254166,,,,,0.005800724029541,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x0.1,4,rbf_gscale_x0.1__d4,svc,train_cv,10.0,0.8627471868196428,ood_test,0.5,0.5662943176299174,0.4967793880837359,0.4565217391304347,0.6230597377367654,0.403513035662403,,,,,0.005800724029541,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x0.3,4,rbf_gscale_x0.3__d4,svc,train_cv,0.1,0.8654153072858545,validation,0.832,0.8212568681318682,0.6995192307692308,0.5,0.9198145604395604,0.6841792862762237,,,,,0.0040004253387451,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x0.3,4,rbf_gscale_x0.3__d4,svc,train_cv,0.1,0.8654153072858545,id_test,0.804,0.8200000000000001,0.6708670302802332,0.4615384615384615,0.9240888888888888,0.6294007359869037,,,,,0.0040004253387451,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x0.3,4,rbf_gscale_x0.3__d4,svc,train_cv,0.1,0.8654153072858545,ood_test,0.622,0.5869354055366682,0.5758051846032993,0.435820895522388,0.6090140845070423,0.3629888260438376,,,,,0.0040004253387451,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x3,4,rbf_gscale_x3__d4,svc,train_cv,1.0,0.863433918622788,validation,0.84,0.8427197802197802,0.7138278388278388,0.5238095238095238,0.90521978021978,0.4380809868298576,,,,,0.0069541931152343,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x3,4,rbf_gscale_x3__d4,svc,train_cv,1.0,0.863433918622788,id_test,0.812,0.8066666666666666,0.6729843310790126,0.4597701149425287,0.8718222222222223,0.4652256845114862,,,,,0.0069541931152343,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x3,4,rbf_gscale_x3__d4,svc,train_cv,1.0,0.863433918622788,ood_test,0.584,0.6009713453132588,0.5644234474208842,0.4720812182741117,0.6334337056823701,0.4359864045547074,,,,,0.0069541931152343,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x10,4,rbf_gscale_x10__d4,svc,train_cv,1.0,0.858010015853812,validation,0.828,0.802026098901099,0.6894051024240848,0.4819277108433735,0.8585164835164836,0.365008563837719,,,,,0.0055124759674072,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x10,4,rbf_gscale_x10__d4,svc,train_cv,1.0,0.858010015853812,id_test,0.836,0.8200000000000001,0.6979875659271044,0.4938271604938271,0.8383999999999999,0.5328468403731811,,,,,0.0055124759674072,analytic_cpu
college_scorecard,q1000,42,classical_ext,rbf_gscale_x10,4,rbf_gscale_x10__d4,svc,train_cv,1.0,0.858010015853812,ood_test,0.7,0.5969888295288975,0.602113572701808,0.4047619047619047,0.6283827100534238,0.439522659582765,,,,,0.0055124759674072,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med_x0.1,4,laplacian_med_x0.1__d4,svc,train_cv,0.1,0.8294065809323236,validation,0.872,0.7925824175824177,0.7276688453159041,0.5294117647058824,0.903331043956044,0.5033357365090259,,,,,0.0070538520812988,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med_x0.1,4,laplacian_med_x0.1__d4,svc,train_cv,0.1,0.8294065809323236,id_test,0.876,0.8066666666666666,0.7328599496742615,0.5373134328358209,0.9022222222222224,0.6367593637205967,,,,,0.0070538520812988,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med_x0.1,4,laplacian_med_x0.1__d4,svc,train_cv,0.1,0.8294065809323236,ood_test,0.708,0.4985915492957746,0.414519906323185,0.0,0.631665857212239,0.40161581974748,,,,,0.0070538520812988,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med_x0.3,4,laplacian_med_x0.3__d4,svc,train_cv,0.1,0.8584810070762483,validation,0.844,0.8109546703296704,0.706846267175802,0.5063291139240507,0.914320054945055,0.6100621635022397,,,,,0.0040109157562255,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med_x0.3,4,laplacian_med_x0.3__d4,svc,train_cv,0.1,0.8584810070762483,id_test,0.832,0.8177777777777778,0.6936632045746295,0.4878048780487805,0.9089777777777778,0.5665128397403222,,,,,0.0040109157562255,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med_x0.3,4,laplacian_med_x0.3__d4,svc,train_cv,0.1,0.8584810070762483,ood_test,0.682,0.5720738222438077,0.5748640367060787,0.3614457831325301,0.6230403108305003,0.3720055582032685,,,,,0.0040109157562255,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med_x3,4,laplacian_med_x3__d4,svc,train_cv,0.1,0.8611335689000696,validation,0.824,0.8167925824175823,0.6910459498932704,0.4883720930232558,0.9244505494505494,0.6935418681482648,,,,,0.0040054321289062,analytic_cpu
college_scorecard,q1000,42,classical_ext,laplacian_med_x3,4,laplacian_med_x3__d4,svc,train_cv,0.1,0.8611335689000696,id_test,0.796,0.8155555555555556,0.6631528889593405,0.4516129032258064,0.9285333333333332,0.6080531219162564,,,,,0.0040054321289062,analytic_cpu
